culture,country,province,site,date,labNo,sample,species,substrate,mtype,sampling_event,winter,Pd1,Pd2,Pd3,Pd11,Pd12,Pd5,Pd6,Pd7,Pd9,Pd13,Pd10,Pd14,Pd21,Pd23,Pd4,Pd17,Pd19,Pd22,Sla2_Long,Sla2_Short
Gd_00046-b2ba,Germany,Mecklenburg Western Pomerania,Anklam,16.02.2014,Gd00046,20140216_B_ANK2_I_1,Mmyo,bat,1,2014_spring_bat,Winter13/14,206,186,264,261,142,366,208,224,396,390,239,258,267,347,404,245,271,441,519,240
Gd_00046-b2bb,Germany,Mecklenburg Western Pomerania,Anklam,16.02.2014,Gd00046,20140216_B_ANK2_I_1,Mmyo,bat,2,2014_spring_bat,Winter13/14,226,186,264,261,142,360,208,224,411,446,239,264,267,342,410,245,276,431,547,208
Gd_00894-bb,Germany,Mecklenburg Western Pomerania,Neustrelitz,21.01.2017,Gd00894,20170121_B_NBA_4,Mmyo,bat,1,2017_spring_bat,Winter16/17,196,180,264,261,142,366,208,224,411,421,239,271,267,347,398,245,271,431,519,240
Gd_00894-bc,Germany,Mecklenburg Western Pomerania,Neustrelitz,21.01.2017,Gd00894,20170121_B_NBA_4,Mmyo,bat,1,2017_spring_bat,Winter16/17,196,180,264,261,142,366,208,224,411,421,239,271,267,347,398,245,271,431,519,240
Gd_00895-aa,Germany,Mecklenburg Western Pomerania,Neustrelitz,21.01.2017,Gd00895,20170121_B_NBA_6,Mmyo,bat,1,2017_spring_bat,Winter16/17,201,186,264,261,142,366,208,224,396,390,239,258,267,347,404,245,271,441,519,240
Gd_00895-ab,Germany,Mecklenburg Western Pomerania,Neustrelitz,21.01.2017,Gd00895,20170121_B_NBA_6,Mmyo,bat,2,2017_spring_bat,Winter16/17,221,186,264,249,142,366,208,224,411,446,239,271,267,342,398,245,281,431,547,208
Gd_00895-ac,Germany,Mecklenburg Western Pomerania,Neustrelitz,21.01.2017,Gd00895,20170121_B_NBA_6,Mmyo,bat,1,2017_spring_bat,Winter16/17,201,186,264,261,142,366,208,224,396,390,239,258,267,347,404,245,271,441,519,240
Gd_00896-ab,Germany,Mecklenburg Western Pomerania,Neustrelitz,21.01.2017,Gd00896,20170121_B_NBA_7,Mmyo,bat,1,2017_spring_bat,Winter16/17,211,186,264,261,142,366,208,224,396,390,239,271,267,322,410,245,271,381,519,240
Gd_00897-aa,Germany,Mecklenburg Western Pomerania,Neustrelitz,21.01.2017,Gd00897,20170121_B_NBB_1,Mmyo,bat,2,2017_spring_bat,Winter16/17,201,186,264,365,142,372,208,224,396,403,239,305,267,347,404,245,271,431,547,208
Gd_00897-ab,Germany,Mecklenburg Western Pomerania,Neustrelitz,21.01.2017,Gd00897,20170121_B_NBB_1,Mmyo,bat,2,2017_spring_bat,Winter16/17,201,186,264,365,142,372,208,224,396,403,239,305,267,347,404,245,271,431,547,208
