,Right_Wing_Length,Total_Body_Length,Head_A_P,Head_D_V,Head_R_L,Pronotum_Length,Pronotum_Width,Notum_Length,Notum_Width,Right_Wing_Width,Right_Hind_Tibia_Length,Ovipositor_Length,Notes
5-1(3)O#1,1.656839,3.044042,0.241118,0.552623,0.520000,0.140698,NA,0.766676,0.590556,0.670566,0.653479,0.453898,
5-1(3)O#4,NA,3.655328,0.517993,0.484293,NA,0.258236,NA,0.732356,NA,NA,0.748213,NA,
5-1(3)O#5,1.496071,2.82604,0.293612,0.495265,0.527297,0.30612,0.359143,0.800132,0.466648,0.767446,,0.453372,
5-1(3)O#14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flattened bug
5-1(3)O#15,2.045578,NA,0.351662,0.507029,0.607541,NA,NA,NA,NA,NA,0.734489,NA,
5-1(3)O#2,1.502191,1.835917,0.238662,0.471908,NA,NA,NA,NA,NA,0.647105,0.492659,NA,Accidentally labelled 5-1(3)O#2 as 5-3(1)O#2 in data; broken ovipositor
5-1(3)O#31,2.043902,3.253757,NA,NA,NA,0.214028,NA,NA,NA,0.725884,0.659647,0.1342270,No top view: cannot get measurements
11-1(6)O#7,NA,4.128647,0.416837,0.687612,NA,NA,NA,NA,NA,NA,0.797054,NA,Broken right wing
11-1(4)O#1,1.48066,NA,NA,NA,NA,NA,NA,NA,NA,0.610399,NA,NA,Poor top photos; crushed head and ovipositor
11-1(4)O#2,1.636634,NA,0.25163,0.467229,NA,NA,NA,NA,NA,0.573287,NA,NA,"""Dirty"" bug; covered in bedding; poor body condition"
11-1(4)O#3,1.672724,NA,NA,NA,NA,NA,NA,NA,NA,0.730474,0.596081,0.453424,Headless; broken at posterior notum line
11-1(5)I#2,NA,NA,0.225699,0.387085,NA,NA,NA,NA,NA,NA,0.396703,NA,Missing ovipositor; crumpled right wing; no top image
11-1(5)I#3,1.720465,3.170961,0.369264,0.514143,NA,0.203662,0.477729,0.927533,0.488315,0.718552,0.683137,NA,"""Tucked"" head"
11-1(5)O#1,NA,NA,NA,NA,0.510394,NA,NA,NA,NA,NA,0.593847,NA,Very deformed body; detached head; crumpled wings
11-1(6)O#8,2.385054,4.114808,0.316577,0.670133,NA,NA,NA,NA,NA,1.016286,0.785034,0.315274,No straight top shot; would be beneficial
11-2(6)O#1,2.443946,4.194731,0.301169,0.660825,0.748196,NA,NA,NA,NA,0.853973,NA,0.166745,"""Dirty"" bug; covered in bedding; no clear top view"
